徐汇苑,(徐汇龙华)天钥桥路968弄,90816,上海航新房地产有限公司,2000年建成 ,塔楼/板楼,4.2至8元/平米/月,上海航新物业管理有限公司,12栋,1348户,https://sh.lianjia.com/xiaoqu/5011000016420/
姚西小区,(静安曹家渡)余姚路487弄,83194,上海静安置业(集团)有限公司,1980年建成 ,塔楼/板楼,0.3元/平米/月,上海宝翔物业有限公司,52栋,1388户,https://sh.lianjia.com/xiaoqu/5011000018249/
芳华路9弄,(浦东北蔡)芳华路9弄,53552,上海花木开发有限公司,1994年建成 ,板楼,0.6元/平米/月,上海花木物业,6栋,144户,https://sh.lianjia.com/xiaoqu/5011000012294/
成山路2148-2150号,(浦东北蔡)成山路2148-2150号,,暂无信息,暂无信息 ,未知类型,暂无信息,暂无信息,1栋,1户,https://sh.lianjia.com/xiaoqu/5012970660737991/
张江汤臣豪园(二期),(浦东张江)晨晖路825弄,81464,上海汤臣集团有限公司,2006年建成 ,板楼,1.8元/平米/月,上海东湖物业管理公司,52栋,1626户,https://sh.lianjia.com/xiaoqu/5011000015622/
芳华路673弄,(浦东北蔡)芳华路673弄,50677,上海花木开发有限公司,1995年建成 ,板楼,0.6元/平米/月,上海花木物业,18栋,228户,https://sh.lianjia.com/xiaoqu/5011000006303/
绿川馨康苑,(浦东北蔡)博华路930弄,53363,绿城集团,2002年建成 ,板楼,0.9元/平米/月,上海绿地物业服务有限公司,36栋,428户,https://sh.lianjia.com/xiaoqu/5011000016751/
广杭苑,"(杨浦东外滩)杭州路66弄,眉州路135弄",68807,上海中水房地产开发经营公司,1996年建成 ,板楼,0.6元/平米/月,中水物业,70栋,1071户,https://sh.lianjia.com/xiaoqu/5011000004819/
鹏海小区,"(浦东北蔡)五星路151弄,五星路231弄,五星路239弄",50357,上海建工房产有限公司,1996年建成 ,板楼,0.5元/平米/月,上海建工物业有限公司,150栋,1956户,https://sh.lianjia.com/xiaoqu/5011000014989/
北艾路1176号,(浦东北蔡)北艾路1176号,,暂无信息,暂无信息 ,未知类型,暂无信息,暂无信息,1栋,2户,https://sh.lianjia.com/xiaoqu/5012970584453752/
莲溪六村,"(浦东北蔡)莲溪路126弄,莲园路555弄",50217,志诚地产,1994年建成 ,板楼,0.35至0.79元/平米/月,上海浦东新区北房物业公司,52栋,1029户,https://sh.lianjia.com/xiaoqu/5011000014924/
德铭苑,(浦东北蔡)陈春东路99弄,60324,暂无信息,2012年建成 ,板楼,1.2元/平米/月,东莲物业,10栋,492户,https://sh.lianjia.com/xiaoqu/5011000003065/
东方花园二期,(闵行七宝)新镇路603弄,57596,上海金沪房地产发展有限公司,2004年建成 ,板楼,1.8元/平米/月,上海中星集团申城物业有限公司,79栋,848户,https://sh.lianjia.com/xiaoqu/5011102207390/
金旋小区,"(浦东北蔡)北艾路1128弄1-28号,北艾路1130弄1-5号",62390,上海由由集团股份有限公司,1994年建成 ,板楼,0.8元/平米/月,任傶物业,33栋,734户,https://sh.lianjia.com/xiaoqu/5011000006298/
花木公寓,(浦东北蔡)高科西路2970弄,43606,上海金钢房地产开发公司,1994年建成 ,板楼,1.25元/平米/月,金钢物业,4栋,56户,https://sh.lianjia.com/xiaoqu/5011000003094/
成山路2154号,(浦东北蔡)成山路2154号,,暂无信息,暂无信息 ,未知类型,暂无信息,暂无信息,1栋,2户,https://sh.lianjia.com/xiaoqu/5012970660737994/
联勤小区,(浦东北蔡)锦绣路3841弄,42844,暂无信息,1998年建成 ,板楼,0.5元/平米/月,上海长银物业发展有限公司,26栋,312户,https://sh.lianjia.com/xiaoqu/5011000007682/
